medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
3349F919AA8AE5DC9C50A3773EA45BD8,7CE849FEF67514F080AF80D990F7EF7F,CMT,2013-01-10 15:42:29,CSH,15.5,0,0.5,0,0,16
3349F919AA8AE5DC9C50A3773EA45BD8,7CE849FEF67514F080AF80D990F7EF7F,CMT,2013-01-10 14:27:28,CSH,16.5,0,0.5,0,0,17
4C005EEBAA7BF26B84B21586332488A2,351BE7D984BE17DB2FA80A748E816472,CMT,2013-01-07 22:09:59,CSH,9,0.5,0.5,0,0,10
7D99C30FCE69B1A9DD27E2AEAC9BFA0C,460C3F57DD9CB2265DB75B14CD70224D,CMT,2013-01-07 17:18:16,CSH,4.5,1,0.5,0,0,6
E6FBF80668FE0611AEA44FD9574A7E32,36773E80775F26CD1158EB5450A61C79,CMT,2013-01-07 06:08:51,CSH,7,0,0.5,0,0,7.5
0C5296F3C8B16E702F8F2E06F5106552,D2363240A9295EF570FC6069BC4F4C92,CMT,2013-01-07 22:25:46,CSH,10.5,0.5,0.5,0,0,11.5
D8AADA4E722C87C10E609654612630DD,8F1E4F779A4D67431C3FCFA4E70A87DC,CMT,2013-01-10 23:41:51,CSH,52,0,0.5,0,4.8,57.3
B6FC8357E0D53B0F1FA897D536A20F5C,113A5BA8513934DEE97A342E3535DE96,CMT,2013-01-07 18:05:36,CSH,15.5,1,0.5,0,0,17
E12F6AF991172EAC3553144A0AF75A19,06918214E951FA0003D1CC54955C2AB0,CMT,2013-01-08 13:29:25,CSH,7.5,0,0.5,0,0,8
4C005EEBAA7BF26B84B21586332488A2,351BE7D984BE17DB2FA80A748E816472,CMT,2013-01-07 21:13:02,CSH,8,0.5,0.5,0,0,9
E9BA494DC1A1F26D186394EFBB8327CF,BBF604B3A2426BFBAAC982AAAA0BF1B5,CMT,2013-01-01 18:36:53,CSH,4,0,0.5,0,0,4.5
E6FBF80668FE0611AEA44FD9574A7E32,36773E80775F26CD1158EB5450A61C79,CMT,2013-01-07 08:17:06,CSH,7,0,0.5,0,0,7.5
0C5296F3C8B16E702F8F2E06F5106552,D2363240A9295EF570FC6069BC4F4C92,CMT,2013-01-07 22:39:03,CSH,7,0.5,0.5,0,0,8
A3B17384165197E18CA0A1BB61277EE9,B8396B62883EA332EFD2771A6B031D05,CMT,2013-01-07 06:26:32,CSH,4,0.5,0.5,0,0,5
8E189DABE265CC03FEF4BFC695B32559,906939B31C0B93768242A58A682412B8,CMT,2013-01-01 14:02:01,CSH,31,0,0.5,0,4.8,36.3
312E0CB058D7FC1A6494EDB66D360CD2,7B5156F38990963332B33298C8BAE25E,CMT,2013-01-05 11:54:49,CSH,7.5,0,0.5,0,0,8
F1EF8290A54338B1396DD98E38E09143,0FDDEFAFF6FC38BD632B6DDED47DA618,CMT,2013-01-05 08:16:58,CSH,20,0,0.5,0,0,20.5
0F9E0728AB1E40D5CEB0C6EDBF805CCB,8434E8A33D8C0150573FAA00B8A9ABF5,CMT,2013-01-05 19:04:43,CSH,10,0,0.5,0,0,10.5
33A0B414EB87DB2538CB5929BF1EEE0D,8105CBF11B1747C525FA81334375EF5B,CMT,2013-01-05 17:34:11,CSH,18,0,0.5,0,0,18.5
24B56A4A0AC119529DBA559181C14FE4,CD5A75F5F950B3E26D561732332C8A5D,CMT,2013-01-05 18:59:29,CSH,11,0,0.5,0,0,11.5
7E3256C342CAFB3C23D3ABB98B9F3FB6,4F7873C913735088F9BEF85C1D054D31,CMT,2013-01-05 03:00:46,CSH,21,0.5,0.5,0,0,22
