medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2D4B95E2FA7B2E85118EC5CA4570FA58,CD2F522EEE1FF5F5A8D8B679E23576B3,CMT,1,N,2013-01-07 13:21:28,2013-01-07 13:34:11,2,762,2.30,-73.947601,40.77533,-73.978798,40.777584
4C005EEBAA7BF26B84B21586332488A2,351BE7D984BE17DB2FA80A748E816472,CMT,1,N,2013-01-07 21:58:43,2013-01-07 22:08:42,3,598,2.00,-73.987099,40.755215,-73.974457,40.755589
5C1E310A26EEE17AA72AFE63194DE5B5,A56B275487B0D09E6BA4C8801E0B2BE3,CMT,1,N,2013-01-01 17:11:51,2013-01-01 17:17:18,3,327,1.40,-73.98793,40.749542,-73.978981,40.766735
CD847FE5884F10A28217E9FBA11B275B,5FEFD00D9773268B72EE4E879852F190,CMT,1,N,2013-01-08 10:44:06,2013-01-08 10:46:09,1,123,.30,-73.989296,40.756313,-73.987885,40.751122
961D9C9506D105D3A7E88229F0487033,65683B8714DEF5F783E75E8111784177,CMT,1,N,2013-01-10 14:55:05,2013-01-10 14:57:38,1,153,.60,-73.961678,40.756123,-73.969917,40.753159
A5A69FAD94C3DC7854F9DDEA994B6380,178BA04DD1A4E3A184C86AA3F110A742,CMT,1,N,2013-01-10 10:42:05,2013-01-10 10:51:14,1,549,.90,-73.946854,40.775887,-73.961754,40.77993
FAE1370A694D0621FAE1E62FAFD64080,265B3D7D30A9B7AE389A2626F6825266,CMT,1,N,2013-01-07 08:29:26,2013-01-07 08:34:48,1,322,1.10,-73.986847,40.762066,-74.002892,40.760334
312E0CB058D7FC1A6494EDB66D360CD2,7B5156F38990963332B33298C8BAE25E,CMT,1,N,2013-01-05 14:00:07,2013-01-05 14:06:34,1,386,.80,-73.986351,40.738503,-73.981422,40.74744
0DDA4FBFADAE0126868397C423989193,CD45CB7CD02BB6649F9A23F5A374A480,CMT,1,N,2013-01-05 21:04:10,2013-01-05 21:11:45,1,455,.90,-73.9879,40.737755,-73.979568,40.730965
24929E5F008DBC4C0E551B957F619910,F7C8E4BC689563E4562A9F52A04EE619,CMT,1,N,2013-01-08 13:51:53,2013-01-08 13:55:24,1,210,.70,-73.998299,40.740654,-74.000504,40.747913
26B6CDD419985C6F551F0FAE87EF3AA9,015760806341352ED97B0F79C8A873BC,CMT,1,N,2013-01-06 22:18:22,2013-01-06 22:26:51,1,508,2.90,-74.003059,40.723473,-73.976883,40.751884
D5367E940A20B9D2550BF7CF7AE01681,5B34A2589D1D2106FC0C47564A4833F0,CMT,1,N,2013-01-08 12:50:22,2013-01-08 12:58:39,2,496,1.10,-73.952026,40.766479,-73.966827,40.759968
20D9ECB2CA0767CF7A01564DF2844A3E,598CCE5B9C1918568DEE71F43CF26CD2,CMT,1,N,2013-01-08 07:51:16,2013-01-08 07:51:20,1,4,.00,-73.945396,40.80209,-73.945412,40.802025
21EF33AA5B34F791B9627087A59C2B13,81D753BF37DADFA0AB6DD2A246A81D32,CMT,1,N,2013-01-08 10:54:06,2013-01-08 10:55:50,1,104,.50,-73.983917,40.746563,-73.990921,40.750141
02BFD1B64C2C80B433D3A282C828912B,375201058CFE70CE40B69903041C2310,CMT,1,N,2013-01-01 19:41:43,2013-01-01 19:49:17,2,453,2.10,-73.984734,40.76931,-73.997787,40.744205
1944EB168702ED8E6B9FD94E988D0197,1D24DD6F12731B59E72DD7CF387F5011,CMT,1,N,2013-01-08 08:30:16,2013-01-08 08:41:03,1,647,.80,-73.976288,40.765472,-73.975105,40.757393
CBA5A347BB1107C22444175A81393D41,AE3664048097EAEBF73CB279944741A6,CMT,1,N,2013-01-06 16:37:03,2013-01-06 16:41:38,1,275,.70,-73.995102,40.744781,-73.992508,40.738434
D5367E940A20B9D2550BF7CF7AE01681,5B34A2589D1D2106FC0C47564A4833F0,CMT,1,N,2013-01-08 10:08:49,2013-01-08 10:18:43,2,594,1.60,-73.972366,40.762138,-73.957542,40.782902
37BDEA2E54A3B70CBFA5B0D1C3A75FE2,730A179A7F97126B694CABFB93CC3A0C,CMT,1,N,2013-01-08 07:49:28,2013-01-08 07:57:15,2,467,2.60,-74.00679,40.754345,-73.980316,40.784081
0428E3DD09EA5A63D85509C7CA8C0199,A4B0B563E94A1C3ADA0B308161EDCB5A,CMT,1,N,2013-01-07 16:19:22,2013-01-07 16:24:13,1,291,.90,0,0,0,0
B33E71CD9E8FE1BE3B70FEB6E807DD15,BAF57796E45D921BB23217E17A372FF6,CMT,1,N,2013-01-06 00:15:44,2013-01-06 00:27:33,1,709,3.40,-74.005058,40.728676,-73.977501,40.757061
